Ticker,Price,Market Cap,Exchange,Outstanding Shares
DGX,,13783580000.0,NYSE,112235000.0
DHI,,35360494000.0,NYSE,338297000.0
DHR,,155386184000.0,NYSE,738352000.0
DIS,,156830433000.0,NYSE,1829780000.0
DLR,,38364545000.0,NYSE,302709000.0
DLTR,,24222661000.0,NASDAQ,220006000.0
DOV,,19691461000.0,NYSE,139874000.0
DOW,,35287335000.0,NYSE,703075000.0
DPZ,,12341963000.0,NYSE,35094300.0
DRI,,16700925000.0,NYSE,120315000.0
DTE,,20295967000.0,NYSE,206176000.0
DUK,,68947534000.0,NYSE,770708000.0
DVA,,6808241000.0,NYSE,91300000.0
DVN,,31650583000.0,NYSE,640700000.0
DXCM,,30622493000.0,NASDAQ,387872000.0
EA,,35527401000.0,NASDAQ,270912000.0
EBAY,,22600708000.0,NASDAQ,532157000.0
ECL,,47257211000.0,NYSE,285034000.0
ED,,30580963000.0,NYSE,344924000.0
EFX,,22092055000.0,NYSE,122720000.0
EG,,16332341000.0,NYSE,43403600.0
EIX,,25354568000.0,NYSE,383289000.0
EL,,50172609000.0,NYSE,232297000.0
ELV,,109015474000.0,NYSE,235648000.0
EMN,,8702010000.0,NYSE,118556000.0
EMR,,55064027000.0,NYSE,571500000.0
ENPH,,17332085000.0,NASDAQ,136355000.0
EOG,,78040441000.0,NYSE,582261000.0
EPAM,,14211988000.0,NYSE,57961000.0
EQIX,,70305595000.0,NASDAQ,93565000.0
EQR,,22776033000.0,NYSE,379032000.0
EQT,,17889679000.0,NYSE,411257000.0
ES,,19618634000.0,NYSE,349086000.0
ESS,,14584326000.0,NYSE,64183000.0
ETN,,84440375000.0,NYSE,399000000.0
ETR,,20122153000.0,NYSE,211456000.0
ETSY,,8176741000.0,NASDAQ,123014000.0
EVRG,,11473615000.0,NASDAQ,229702000.0
EW,,43326173000.0,NYSE,607916000.0
EXC,,39977947000.0,NASDAQ,995219000.0
EXPD,,17590868000.0,NASDAQ,147897000.0
EXPE,,14289189000.0,NASDAQ,137841000.0
EXR,,26107490000.0,NYSE,211276000.0
F,,47666557000.0,NYSE,3931370000.0
FANG,,29935921000.0,NASDAQ,178818000.0
FAST,,34215674000.0,NASDAQ,571333000.0
FCX,,51395990000.0,NYSE,1433640000.0
FDS,,17086065000.0,NYSE,38146200.0
FDX,,62241534000.0,NYSE,251420000.0
FE,,20732768000.0,NYSE,573362000.0
FFIV,,9129628000.0,NASDAQ,59306000.0
FI,,69240070000.0,NYSE,609615000.0
FICO,,22038393000.0,NYSE,24857200.0
FIS,,31163660000.0,NYSE,592465000.0
FITB,,16811150000.0,NASDAQ,680889000.0
FLT,,18484912000.0,NYSE,73957000.0
FMC,,8010418000.0,NYSE,124734000.0
FOX,,14783288000.0,NASDAQ,235581000.0
FOXA,,14787979000.0,NASDAQ,250207000.0
FRT,,7361563000.0,NYSE,81523000.0
FSLR,,16162462000.0,NASDAQ,106831000.0
FTNT,,46444831000.0,NASDAQ,785337000.0
FTV,,26282113000.0,NYSE,352024000.0
GD,,66313953000.0,NYSE,273043000.0
GE,,118785794000.0,NYSE,1088380000.0
GEHC,,30528729000.0,NASDAQ,454838000.0
GEN,,10947196000.0,NASDAQ,639439000.0
GILD,,98683986000.0,NASDAQ,1246010000.0
GIS,,36765897000.0,NYSE,581279000.0
GL,,10744968000.0,NYSE,94820000.0
GLW,,24224688000.0,NYSE,852982000.0
GM,,41359856000.0,NYSE,1375910000.0
GNRC,,6240443000.0,NYSE,62243000.0
GOOG,,1754545258000.0,NASDAQ,5801000000.0
GOOGL,,1761944142000.0,NASDAQ,5933000000.0
GPC,,21022165000.0,NYSE,140438000.0
GPN,,29953909000.0,NYSE,259994000.0
GRMN,,20630868000.0,NYSE,191452000.0
GS,,103645274000.0,NYSE,329671000.0
GWW,,36589658000.0,NYSE,50001000.0
HAL,,38280307000.0,NYSE,898546000.0
HAS,,7883263000.0,NASDAQ,138741000.0
HBAN,,14739418000.0,NASDAQ,1447880000.0
HCA,,65119367000.0,NYSE,271988000.0
HD,,297350791000.0,NYSE,1000070000.0
HES,,49562714000.0,NYSE,307061000.0
HIG,,22135034000.0,NYSE,305817000.0
HII,,8976589000.0,NYSE,39867600.0
HLT,,40026022000.0,NYSE,261514000.0
HOLX,,16954885000.0,NASDAQ,244942000.0
HON,,123649458000.0,NASDAQ,663961000.0
HPE,,21949735000.0,NYSE,1282860000.0
HPQ,,26564669000.0,NYSE,988269000.0
HRL,,17552970000.0,NYSE,546481000.0
HSIC,,9453701000.0,NASDAQ,130585000.0
HST,,11733460000.0,NASDAQ,711605000.0
HSY,,39223095000.0,NYSE,149854000.0
HUM,,64953291000.0,NYSE,123907000.0
HWM,,18289668000.0,NYSE,412208000.0
IBM,,127017017000.0,NYSE,911006000.0
ICE,,63928816000.0,NYSE,571201000.0
IDXX,,35657974000.0,NASDAQ,83012000.0
IEX,,15320684000.0,NYSE,75602000.0
IFF,,16946246000.0,NYSE,255253000.0
ILMN,,20797454000.0,NASDAQ,158300000.0
INCY,,12914191000.0,NASDAQ,224088000.0
INTC,,153113281000.0,NASDAQ,4188000000.0
INTU,,151592108000.0,NASDAQ,280259000.0
INVH,,20087841000.0,NYSE,611956000.0
IP,,12113424000.0,NYSE,345999000.0
IPG,,11459515000.0,NYSE,384935000.0
IQV,,36437615000.0,NYSE,183122000.0
IR,,26265715000.0,NYSE,404399000.0
IRM,,17998512000.0,NYSE,291852000.0
ISRG,,97500348000.0,NASDAQ,351355000.0
IT,,27978217000.0,NYSE,78825000.0
ITW,,70641328000.0,NYSE,302390000.0
IVZ,,5984604000.0,NYSE,448621000.0
J,,17430827000.0,NYSE,125918000.0
JBHT,,20336228000.0,NASDAQ,103345000.0
JCI,,35812045000.0,NYSE,680320000.0
JKHY,,10767238000.0,NASDAQ,72801000.0
JNJ,,379333804000.0,NYSE,2408010000.0
JNPR,,8456589000.0,NYSE,321360000.0
JPM,,427434377000.0,NYSE,2891000000.0
K,,17216631000.0,NYSE,342347000.0
KDP,,39276982000.0,NASDAQ,1397260000.0
KEY,,10033052000.0,NYSE,935919000.0
KEYS,,23340460000.0,NYSE,177575000.0
KHC,,38789399000.0,NASDAQ,1228290000.0
KIM,,10674248000.0,NYSE,619875000.0
KLAC,,66962727000.0,NASDAQ,136322000.0
KMB,,41157112000.0,NYSE,338185000.0
KMI,,38502777000.0,NYSE,2228170000.0
KMX,,10832264000.0,NYSE,158668000.0
KO,,231049495000.0,NYSE,4324340000.0
KR,,31858506000.0,NYSE,719316000.0
KVUE,,37091422000.0,NYSE,1914890000.0
L,,14617492000.0,NYSE,225509000.0
LDOS,,13104660000.0,NYSE,137351000.0
LEN,,30904082000.0,NYSE,250152000.0
LH,,17838723000.0,NYSE,88600000.0
LHX,,33521932000.0,NYSE,189133000.0
LIN,,184389911000.0,NYSE,487946000.0
LKQ,,13551712000.0,NASDAQ,267556000.0
LLY,,585373254000.0,NYSE,949295000.0
LMT,,110908891000.0,NYSE,251831000.0
LNT,,12699130000.0,NASDAQ,252719000.0
LOW,,114413052000.0,NYSE,577115000.0
LRCX,,86541943000.0,NASDAQ,132222000.0
LUV,,15254187000.0,NYSE,595634000.0
LVS,,34698248000.0,NYSE,764447000.0
LW,,12266622000.0,NYSE,144927000.0
LYB,,30283241000.0,NYSE,324197000.0
LYV,,19696325000.0,NYSE,230151000.0
MA,,377977766000.0,NYSE,934848000.0
MAA,,15901706000.0,NYSE,116677000.0
MAR,,58765210000.0,NASDAQ,298240000.0
MAS,,11813114000.0,NYSE,224926000.0
MCD,,182147023000.0,NYSE,728763000.0
MCHP,,42975171000.0,NASDAQ,544334000.0
MCK,,62400229000.0,NYSE,134902000.0
MCO,,58967073000.0,NYSE,183458000.0
MDLZ,,85189501000.0,NASDAQ,1360420000.0
MDT,,95465529000.0,NYSE,1330530000.0
MET,,47640592000.0,NYSE,752022000.0
META,,826370294000.0,NASDAQ,2222580000.0
MGM,,12965348000.0,NYSE,350889000.0
MHK,,5274797000.0,NYSE,63682000.0
MKC,,16548420000.0,NYSE,251291000.0
MKTX,,9119438000.0,NASDAQ,37677400.0
MLM,,26678401000.0,NYSE,61804000.0
MMC,,95086141000.0,NYSE,493954000.0
MMM,,49646162000.0,NYSE,551992000.0
MNST,,50982797000.0,NASDAQ,1047520000.0
MO,,76077531000.0,NYSE,1774610000.0
MOH,,20739060000.0,NYSE,58300000.0
MOS,,12091670000.0,NYSE,332280000.0
MPC,,60276482000.0,NYSE,399844000.0
MPWR,,23082506000.0,NASDAQ,47778000.0
MRK,,264257339000.0,NYSE,2537520000.0
MRNA,,34991722000.0,NASDAQ,380593000.0
MRO,,17231794000.0,NYSE,605687000.0
MS,,130453250000.0,NYSE,1656970000.0
MSCI,,40767013000.0,NYSE,79089000.0
MSFT,,2471435436000.0,NASDAQ,7429760000.0
MSI,,48990306000.0,NYSE,167020000.0
MTB,,20355303000.0,NYSE,165949000.0
MTCH,,10119586000.0,NASDAQ,278087000.0
MTD,,23110437000.0,NYSE,21864800.0
MU,,75851907000.0,NASDAQ,1098030000.0
NCLH,,6364343000.0,NYSE,425424000.0
NDAQ,,24713193000.0,NASDAQ,491316000.0
NDSN,,12800325000.0,NASDAQ,57014000.0
NEE,,110272315000.0,NYSE,2023710000.0
NEM,,31831581000.0,NYSE,794000000.0
NFLX,,159896306000.0,NASDAQ,443147000.0
NI,,10790089000.0,NYSE,413255000.0
NKE,,155295695000.0,NYSE,1224010000.0
NOC,,73996296000.0,NYSE,151300000.0
NOW,,112532521000.0,NYSE,204000000.0
NRG,,9517520000.0,NYSE,229117000.0
NSC,,47116964000.0,NYSE,227015000.0
NTAP,,15857676000.0,NASDAQ,208791000.0
NTRS,,14252226000.0,NASDAQ,207004000.0
NUE,,37059580000.0,NYSE,248722000.0
NVDA,,1138546573000.0,NASDAQ,2470000000.0
NVR,,19312495000.0,NYSE,3264300.0
NWS,,12639746000.0,NASDAQ,191504000.0
NWSA,,12634382000.0,NASDAQ,378868000.0
NXPI,,51091198000.0,NASDAQ,257802000.0
O,,35963904000.0,NYSE,708788000.0
ODFL,,45064311000.0,NASDAQ,109268000.0
OGN,,4426438000.0,NYSE,255568000.0
OKE,,40813883000.0,NYSE,582473000.0
OMC,,15019347000.0,NYSE,197571000.0
ON,,39566893000.0,NASDAQ,431529000.0
ORCL,,297798009000.0,NYSE,2739380000.0
ORLY,,56962171000.0,NASDAQ,60258000.0
OTIS,,32939600000.0,NYSE,411745000.0
OXY,,57831666000.0,NYSE,884682000.0
PANW,,80703767000.0,NASDAQ,308595000.0
PARA,,7870636000.0,NASDAQ,610399000.0
PAYC,,15653791000.0,NYSE,57949000.0
PAYX,,42889077000.0,NASDAQ,361232000.0
PCAR,,44485476000.0,NASDAQ,522805000.0
PCG,,41045348000.0,NYSE,2501240000.0
PEAK,,9513269000.0,NYSE,547054000.0
PEG,,30390868000.0,NYSE,499111000.0
PEP,,221462462000.0,NASDAQ,1374860000.0
PFE,,187841102000.0,NYSE,5645960000.0
PFG,,17210108000.0,NASDAQ,241715000.0
PG,,344270963000.0,NYSE,2356890000.0
PGR,,91889959000.0,NYSE,585100000.0
PH,,51017183000.0,NYSE,128510000.0
PHM,,15993150000.0,NYSE,219445000.0
PKG,,13706659000.0,NYSE,89915000.0
PLD,,102474777000.0,NYSE,923862000.0
PM,,144554836000.0,NYSE,1552350000.0
PNC,,47056019000.0,NYSE,398255000.0
PNR,,10539163000.0,NYSE,165113000.0
PNW,,8671768000.0,NYSE,113312000.0
PODD,,9489386000.0,NASDAQ,69821000.0
POOL,,13623680000.0,NASDAQ,39052000.0
PPG,,30699121000.0,NYSE,235513000.0
PPL,,17822812000.0,NYSE,737089000.0
PRU,,34739098000.0,NYSE,363000000.0
PSA,,48615612000.0,NYSE,175829000.0
PSX,,49774293000.0,NYSE,445288000.0
PTC,,17161862000.0,NASDAQ,118833000.0
PWR,,25610201000.0,NYSE,145199000.0
PXD,,57996153000.0,NYSE,233141000.0
PYPL,,62588285000.0,NASDAQ,1098040000.0
QCOM,,123329159000.0,NASDAQ,1116000000.0
QRVO,,9029297000.0,NASDAQ,97910000.0
RCL,,22210198000.0,NYSE,256173000.0
REG,,10855365000.0,NASDAQ,181057000.0
REGN,,91586879000.0,NASDAQ,106741000.0
RF,,15520757000.0,NYSE,938377000.0
RHI,,8177852000.0,NYSE,107082000.0
RJF,,21191199000.0,NYSE,208842000.0
RL,,7299055000.0,NYSE,40388000.0
RMD,,20774285000.0,NYSE,147085000.0
ROK,,33513851000.0,NYSE,114860000.0
ROL,,17640493000.0,NYSE,484097000.0
ROP,,53559316000.0,NASDAQ,106711000.0
ROST,,39413379000.0,NASDAQ,338632000.0
RSG,,46889005000.0,NYSE,316326000.0
RTX,,106616111000.0,NYSE,1455510000.0
RVTY,,13139689000.0,NYSE,124135000.0
SBAC,,21990910000.0,NASDAQ,108383000.0
SBUX,,107266720000.0,NASDAQ,1145400000.0
SCHW,,97830035000.0,NYSE,1770220000.0
SEDG,,6990544000.0,NASDAQ,56558000.0
SEE,,4345650000.0,NYSE,145000000.0
SHW,,64896688000.0,NYSE,257149000.0
SJM,,11572512000.0,NYSE,102131000.0
SLB,,84489748000.0,NYSE,1421190000.0
SNA,,13607477000.0,NYSE,52916000.0
SNPS,,74819240000.0,NASDAQ,152084000.0
SO,,73612124000.0,NYSE,1090550000.0
SPG,,40559620000.0,NYSE,327191000.0
SPGI,,116951228000.0,NYSE,318200000.0
SRE,,44624163000.0,NYSE,629307000.0
STE,,22130985000.0,NYSE,98781000.0
STLD,,17346241000.0,NASDAQ,165644000.0
STT,,20902783000.0,NYSE,318640000.0
STX,,14331119000.0,NASDAQ,207848000.0
STZ,,43127636000.0,NYSE,183663000.0
SWK,,12612361000.0,NYSE,153230000.0
SWKS,,15276223000.0,NASDAQ,159393000.0
SYF,,12399127000.0,NYSE,418183000.0
SYK,,100295565000.0,NYSE,379778000.0
SYY,,32517237000.0,NYSE,504926000.0
T,,103017095000.0,NYSE,7149000000.0
TAP,,12823093000.0,NYSE,200960000.0
TDG,,47673315000.0,NYSE,55183000.0
TDY,,19267633000.0,NYSE,47074600.0
TECH,,10852099000.0,NASDAQ,158240000.0
TEL,,39016342000.0,NYSE,313939000.0
TER,,14939358000.0,NASDAQ,154014000.0
TFC,,37841551000.0,NYSE,1331980000.0
TFX,,8983499000.0,NYSE,46992200.0
TGT,,51418182000.0,NYSE,461605000.0
TJX,,102601097000.0,NYSE,1144080000.0
TMO,,188552020000.0,NYSE,385950000.0
TMUS,,168516141000.0,NASDAQ,1176460000.0
TPR,,6491225000.0,NYSE,229129000.0
TRGP,,19670997000.0,NYSE,223712000.0
TRMB,,12589925000.0,NASDAQ,248322000.0
TROW,,22880334000.0,NASDAQ,224295000.0
TRV,,38382125000.0,NYSE,228942000.0
TSCO,,22378541000.0,NASDAQ,108808000.0
TSLA,,805939511000.0,NASDAQ,3173990000.0
TSN,,16842877000.0,NYSE,285550000.0
TT,,46750786000.0,NYSE,228398000.0
TTWO,,24386034000.0,NASDAQ,169831000.0
TXN,,140099158000.0,NASDAQ,907966000.0
TXT,,15701088000.0,NYSE,198071000.0
TYL,,16157265000.0,NYSE,42078400.0
UAL,,12965049000.0,NASDAQ,327980000.0
UDR,,12775857000.0,NYSE,329480000.0
UHS,,8748705000.0,NYSE,62140000.0
ULTA,,19064269000.0,NASDAQ,49228600.0
UNH,,498379915000.0,NYSE,926305000.0
UNP,,128491610000.0,NYSE,609456000.0
UPS,,133849588000.0,NYSE,723276000.0
URI,,30117452000.0,NYSE,68283000.0
USB,,50788360000.0,NYSE,1556970000.0
V,,499297616000.0,NYSE,1606790000.0
VFC,,6295773000.0,NYSE,388868000.0
VICI,,29328665000.0,NYSE,1013430000.0
VLO,,45624783000.0,NYSE,353133000.0
VLTO,,,,
VMC,,28305773000.0,NYSE,132866000.0
VRSK,,35171951000.0,NASDAQ,145027000.0
VRSN,,21779837000.0,NASDAQ,103134000.0
VRTX,,96527532000.0,NASDAQ,258095000.0
VTR,,17535633000.0,NYSE,402378000.0
VTRS,,11191614000.0,NASDAQ,1199530000.0
VZ,,131376251000.0,NYSE,4204040000.0
WAB,,18774614000.0,NYSE,179130000.0
WAT,,15081287000.0,NYSE,59103000.0
WBA,,19679984000.0,NASDAQ,863915000.0
WBD,,25275632000.0,NASDAQ,2437380000.0
WDC,,14829634000.0,NASDAQ,324145000.0
WEC,,26376675000.0,NYSE,315435000.0
WELL,,44169773000.0,NYSE,518729000.0
WFC,,151519789000.0,NYSE,3637930000.0
WHR,,6938289000.0,NYSE,54818000.0
WM,,64744632000.0,NYSE,405059000.0
WMB,,43462685000.0,NYSE,1216420000.0
WMT,,433906385000.0,NYSE,2691560000.0
WRB,,16741572000.0,NYSE,257523000.0
WRK,,9494603000.0,NYSE,256403000.0
WST,,28657777000.0,NYSE,73861000.0
WTW,,21789557000.0,NASDAQ,104823000.0
WY,,21980901000.0,NYSE,730748000.0
WYNN,,10337414000.0,NASDAQ,113936000.0
XEL,,32849306000.0,NASDAQ,551533000.0
XOM,,435723043000.0,NYSE,3962920000.0
XRAY,,6681778000.0,NASDAQ,211716000.0
XYL,,22132185000.0,NYSE,240829000.0
YUM,,33190994000.0,NYSE,280211000.0
ZBH,,21951668000.0,NYSE,208964000.0
ZBRA,,11036216000.0,NASDAQ,51338000.0
ZION,,5321368000.0,NASDAQ,148145000.0
ZTS,,80638329000.0,NYSE,460317000.0
